date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:47	1450/1450	---M--	200	added ('OK')	image/gif	etag:%222446527177%22	http://s.jimdo.com/s/img/web/shop/instock-slice-ie6.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/shop/instock-slice-ie6.gif	(from http://maquette-site.jimdo.com/)
10:26:47	66/66	---M--	200	added ('OK')	image/gif	etag:%222631650791%22	http://s.jimdo.com/s/img/web/shop/active.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/shop/active.gif	(from http://maquette-site.jimdo.com/)
10:26:47	49/49	---M--	200	added ('OK')	image/gif	etag:%223143355879%22	http://s.jimdo.com/s/img/web/shop/bg-catalog-listview.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/shop/bg-catalog-listview.gif	(from http://maquette-site.jimdo.com/)
10:26:50	11634/11634	---M--	200	added ('OK')	image/png	etag:%222769604331%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons32.png	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons32.png	(from http://maquette-site.jimdo.com/)
10:26:50	13687/13687	---M--	200	added ('OK')	image/png	etag:%223172260445%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons64sw.png	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons64sw.png	(from http://maquette-site.jimdo.com/)
10:26:50	20327/20327	---M--	200	added ('OK')	image/png	etag:%222232928169%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons64.png	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons64.png	(from http://maquette-site.jimdo.com/)
10:26:51	6707/6707	---M--	200	added ('OK')	image/png	etag:%222637881375%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons32sw.png	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons32sw.png	(from http://maquette-site.jimdo.com/)
10:26:51	3449/3449	---M--	200	added ('OK')	image/png	etag:%222109393111%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons16sw.png	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons16sw.png	(from http://maquette-site.jimdo.com/)
10:26:52	7126/7126	---M--	200	added ('OK')	image/png	etag:%222965040443%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons16.png	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons16.png	(from http://maquette-site.jimdo.com/)
10:26:53	4556/4556	---M--	200	added ('OK')	image/gif	etag:%223940047900%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons32-ie6.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons32-ie6.gif	(from http://maquette-site.jimdo.com/)
10:26:53	9743/9743	---M--	200	added ('OK')	image/gif	etag:%223713701911%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons64-ie6.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons64-ie6.gif	(from http://maquette-site.jimdo.com/)
10:26:53	7365/7365	---M--	200	added ('OK')	image/gif	etag:%223680001232%22	http://s.jimdo.com/s/img/web/module/sharebuttons/icons64sw-ie6.gif	D:/Documents/Benoît/Documents/Wilbox/Wilbox/s.jimdo.com/s/img/web/module/sharebuttons/icons64sw-ie6.gif	(from http://maquette-site.jimdo.com/)
